CodeValue,Description,Namespace,ShortDescription,EffectiveBeginDate,EffectiveEndDate
Advanced,Advanced,uri://ed-fi.org/PerformanceLevelDescriptor,Advanced,,
Basic,Basic,uri://ed-fi.org/PerformanceLevelDescriptor,Basic,,
Below Basic,Below Basic,uri://ed-fi.org/PerformanceLevelDescriptor,Below Basic,,
Well Below Basic,Well Below Basic,uri://ed-fi.org/PerformanceLevelDescriptor,Well Below Basic,,
Met Standard,Met Standard,uri://ed-fi.org/PerformanceLevelDescriptor,Met Standard,,
Did Not Meet Standard,Did Not Meet Standard,uri://ed-fi.org/PerformanceLevelDescriptor,Did Not Meet Standard,,
Pass,Pass,uri://ed-fi.org/PerformanceLevelDescriptor,Pass,,
Fail,Fail,uri://ed-fi.org/PerformanceLevelDescriptor,Fail,,
Commended Performance,DEPRECATED: Commended Performance,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Commended Performance,,
Above Benchmark,DEPRECATED: Above Benchmark,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Above Benchmark,,
Proficient,DEPRECATED: Proficient,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Proficient,,
Minimum,DEPRECATED: Minimum,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Minimum,,
Satisfactory,DEPRECATED: Satisfactory,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Satisfactory,,
Unsatisfactory,DEPRECATED: Unsatisfactory,uri://ed-fi.org/PerformanceLevelDescriptor,DEPRECATED: Unsatisfactory,,
