CodeValue,ShortDescription,Description,Namespace
All Other Support Staff,All Other Support Staff,All Other Support Staff,uri://ed-fi.org/StaffClassificationDescriptor
Assistant Principal,Assistant Principal,Assistant Principal,uri://ed-fi.org/StaffClassificationDescriptor
Assistant Superintendent,Assistant Superintendent,Assistant Superintendent,uri://ed-fi.org/StaffClassificationDescriptor
Counselor,Counselor,Counselor,uri://ed-fi.org/StaffClassificationDescriptor
Elementary School Counselors,Elementary School Counselors,Elementary School Counselors,uri://ed-fi.org/StaffClassificationDescriptor
Elementary Teachers,Elementary Teachers,Elementary Teachers,uri://ed-fi.org/StaffClassificationDescriptor
Instructional Aide,Instructional Aide,Instructional Aide,uri://ed-fi.org/StaffClassificationDescriptor
Instr Coordinators and Supervisors to the Staff,Instructional Coordinators and Supervisors to the Staff,Instructional Coordinators and Supervisors to the Staff,uri://ed-fi.org/StaffClassificationDescriptor
Instructional Coordinator,Instructional Coordinator,Instructional Coordinator,uri://ed-fi.org/StaffClassificationDescriptor
Kindergarten Teachers,Kindergarten Teachers,Kindergarten Teachers,uri://ed-fi.org/StaffClassificationDescriptor
LEA Administrator,LEA Administrator,LEA Administrator,uri://ed-fi.org/StaffClassificationDescriptor
LEA Administrative Support Staff,LEA Administrative Support Staff,LEA Administrative Support Staff,uri://ed-fi.org/StaffClassificationDescriptor
LEA Specialist,LEA Specialist,LEA Specialist,uri://ed-fi.org/StaffClassificationDescriptor
LEA System Administrator,LEA System Administrator,LEA System Administrator,uri://ed-fi.org/StaffClassificationDescriptor
Librarians/Media Specialists,Librarians/Media Specialists,Librarians/Media Specialists,uri://ed-fi.org/StaffClassificationDescriptor
Library/Media Support Staff,Library/Media Support Staff,Library/Media Support Staff,uri://ed-fi.org/StaffClassificationDescriptor
Operational Support,Operational Support,Operational Support,uri://ed-fi.org/StaffClassificationDescriptor
Other,Other,Other,uri://ed-fi.org/StaffClassificationDescriptor
Paraprofessionals/Instructional Aides,Paraprofessionals/Instructional Aides,Paraprofessionals/Instructional Aides,uri://ed-fi.org/StaffClassificationDescriptor
Pre-Kindergarten Teachers,Pre-Kindergarten Teachers,Pre-Kindergarten Teachers,uri://ed-fi.org/StaffClassificationDescriptor
Principal,Principal,Principal,uri://ed-fi.org/StaffClassificationDescriptor
School Administrative Support Staff,School Administrative Support Staff,School Administrative Support Staff,uri://ed-fi.org/StaffClassificationDescriptor
School Administrator,School Administrator,School Administrator,uri://ed-fi.org/StaffClassificationDescriptor
School Counselors,School Counselors,School Counselors,uri://ed-fi.org/StaffClassificationDescriptor
School Leader,School Leader,School Leader,uri://ed-fi.org/StaffClassificationDescriptor
School Psychologist,School Psychologist,School Psychologist,uri://ed-fi.org/StaffClassificationDescriptor
School Specialist,School Specialist,School Specialist,uri://ed-fi.org/StaffClassificationDescriptor
Secondary School Counselors,Secondary School Counselors,Secondary School Counselors,uri://ed-fi.org/StaffClassificationDescriptor
Secondary Teachers,Secondary Teachers,Secondary Teachers,uri://ed-fi.org/StaffClassificationDescriptor
State Administrator,State Administrator,State Administrator,uri://ed-fi.org/StaffClassificationDescriptor
Student Support Services Staff (w/o Psychology),Student Support Services Staff (w/o Psychology),Student Support Services Staff (w/o Psychology),uri://ed-fi.org/StaffClassificationDescriptor
Substitute Teacher,Substitute Teacher,Substitute Teacher,uri://ed-fi.org/StaffClassificationDescriptor
Superintendent,Superintendent,Superintendent,uri://ed-fi.org/StaffClassificationDescriptor
Support Services Staff,Support Services Staff,Support Services Staff,uri://ed-fi.org/StaffClassificationDescriptor
Teacher,Teacher,Teacher,uri://ed-fi.org/StaffClassificationDescriptor
Ungraded Teachers,Ungraded Teachers,Ungraded Teachers,uri://ed-fi.org/StaffClassificationDescriptor
